folio	codigo	descripcion	marca	cantidad	precio	categoria
2852	150327	PRINGLES QUESO 12/40GR PRINGLES	PRINGLES	36	3412.8	BOTANAS
2852	210598	VASO BICOLOR ROJO 16OZ 25/20 CONVERMEX	CONVERMEX	15	115.2	Subfamilia de Varios
2852	210223	HIELERA A E BLANCA (25.7LTS) 5/PZ CONVERMEX	CONVERMEX	30	857.43	Subfamilia de Varios
2853	80043	ROCKALETA PROMO 10/18  ALEGRO	ALEGRO	4	92.544	PRODUCTOS DE CONFITERIA
2853	90054	BOMBON TRENCITAS 12/400GR VERO	VERO	3	29.103	PRODUCTOS DE CONFITERIA
2853	90005	BOMBON REDONDO AZUL 12/400 VERO	VERO	2	14.244	PRODUCTOS DE CONFITERIA
2853	90006	TRENZA GIGANTE 5/35 VERO	VERO	2	30	PRODUCTOS DE CONFITERIA
2853	120025	CACAH JAP MARBETTE 12/20/40GR VERO	VERO	1	26.78	BOTANAS
2853	80039	PAL BOMBA NEGRA 24/40 VERO	VERO	1	0	PRODUCTOS DE CONFITERIA
2853	80091	PAL BOMBA C/CHILE 24/40 VERO	VERO	2	131.856	PRODUCTOS DE CONFITERIA
2853	80455	PAL MANGO C/CH 24/40 VERO	VERO	1	15.3	PRODUCTOS DE CONFITERIA
2853	80148	PAL CUPIDO FSA/CZA 24/40PZ VERO	VERO	1	18.423	PRODUCTOS DE CONFITERIA
2853	80134	DISPONIBLE	VERO	1	30.46	PRODUCTOS DE CONFITERIA
2853	80559	PAL CUPIDO CHAMOY 24/40PZ VERO	VERO	2	114.778	PRODUCTOS DE CONFITERIA
2853	140116	PICA GOMA TAMARINDO 24/100PZ VERO	VERO	1	0.582	PRODUCTOS DE CONFITERIA
2853	150331	CHETO QUESO PERSONAL 10/25/10GR GONAC	GONAC	50	780	BOTANAS
2853	150329	DONA C/CHILE PERSONAL 10/25/10G GONAC	GONAC	50	795	BOTANAS
2853	150309	MEGA DONA CON SALSA 10/24 GONAC	GONAC	10	240	BOTANAS
2853	150049	MEGA CHETO QUESO 10/24/18GR GONAC	GONAC	10	137.18	BOTANAS
2853	150053	MEGA DONA C/CHILE 10/24/18GR GONAC	GONAC	10	146.11	BOTANAS
2853	150101	MEGA TORTILLA 10/24/19GR GONAC	GONAC	10	763.15	BOTANAS
2853	150342	MEGA HOT CHILI MIX 10/24/22GR GONAC	GONAC	100	2530	BOTANAS
2853	150330	DONA C/SAL PERSONAL 10/25/9GR GONAC	GONAC	50	805	BOTANAS
2853	150045	BARCEL PACK SDO 7/14 BARCEL	BARCEL	3	195	BOTANAS
2853	150112	BARCEL PACK TAKIS 7/15 BARCEL	BARCEL	3	187.5	BOTANAS
2853	10245	BOCADIN CHOC BLS 12/50 BARCEL	BARCEL	7	122.5	PRODUCTOS DE CONFITERIA
2853	20071	DUVALIN FRE/VAIN 24/18 BARCEL	BARCEL	1	9.977	PRODUCTOS DE CONFITERIA
2853	20070	DUVALIN AVE-VAIN 24/18 BARCEL	BARCEL	2	2.424	PRODUCTOS DE CONFITERIA
2853	20069	DUVALIN AVE-FSA 24/18 BARCEL	BARCEL	3	29.931	PRODUCTOS DE CONFITERIA
2853	21338	BUBULUBU 5KG AGRANEL BARCEL	BARCEL	4	44.58	CHOCOLATES Y DEMAS PROD DERIVADOS CACAO
2853	80284	MINI PALETA PAYASO 12/15 BARCEL	BARCEL	2	50.274	PRODUCTOS DE CONFITERIA
2854	80043	ROCKALETA PROMO 10/18  ALEGRO	ALEGRO	4	92.544	PRODUCTOS DE CONFITERIA
2854	90054	BOMBON TRENCITAS 12/400GR VERO	VERO	3	29.103	PRODUCTOS DE CONFITERIA
2854	90005	BOMBON REDONDO AZUL 12/400 VERO	VERO	2	14.244	PRODUCTOS DE CONFITERIA
2854	90006	TRENZA GIGANTE 5/35 VERO	VERO	2	30	PRODUCTOS DE CONFITERIA
2854	120025	CACAH JAP MARBETTE 12/20/40GR VERO	VERO	1	26.78	BOTANAS
2854	80039	PAL BOMBA NEGRA 24/40 VERO	VERO	1	0	PRODUCTOS DE CONFITERIA
2855	80039	PAL BOMBA NEGRA 24/40 VERO	VERO	0	15.61	PRODUCTOS DE CONFITERIA
2854	80091	PAL BOMBA C/CHILE 24/40 VERO	VERO	2	131.856	PRODUCTOS DE CONFITERIA
2854	80455	PAL MANGO C/CH 24/40 VERO	VERO	1	15.3	PRODUCTOS DE CONFITERIA
2854	80148	PAL CUPIDO FSA/CZA 24/40PZ VERO	VERO	1	18.423	PRODUCTOS DE CONFITERIA
2854	80134	DISPONIBLE	VERO	1	30.46	PRODUCTOS DE CONFITERIA
2854	80559	PAL CUPIDO CHAMOY 24/40PZ VERO	VERO	2	114.778	PRODUCTOS DE CONFITERIA
2854	140116	PICA GOMA TAMARINDO 24/100PZ VERO	VERO	1	0.582	PRODUCTOS DE CONFITERIA
2854	150331	CHETO QUESO PERSONAL 10/25/10GR GONAC	GONAC	50	780	BOTANAS
2854	150329	DONA C/CHILE PERSONAL 10/25/10G GONAC	GONAC	50	795	BOTANAS
2854	150309	MEGA DONA CON SALSA 10/24 GONAC	GONAC	10	240	BOTANAS
2854	150049	MEGA CHETO QUESO 10/24/18GR GONAC	GONAC	10	137.18	BOTANAS
2854	150053	MEGA DONA C/CHILE 10/24/18GR GONAC	GONAC	10	146.11	BOTANAS
2854	150101	MEGA TORTILLA 10/24/19GR GONAC	GONAC	10	763.15	BOTANAS
2854	150342	MEGA HOT CHILI MIX 10/24/22GR GONAC	GONAC	100	2530	BOTANAS
2854	150330	DONA C/SAL PERSONAL 10/25/9GR GONAC	GONAC	50	805	BOTANAS
2854	150045	BARCEL PACK SDO 7/14 BARCEL	BARCEL	3	195	BOTANAS
2854	150112	BARCEL PACK TAKIS 7/15 BARCEL	BARCEL	3	187.5	BOTANAS
2854	10245	BOCADIN CHOC BLS 12/50 BARCEL	BARCEL	7	122.5	PRODUCTOS DE CONFITERIA
2854	20071	DUVALIN FRE/VAIN 24/18 BARCEL	BARCEL	1	9.977	PRODUCTOS DE CONFITERIA
2854	20070	DUVALIN AVE-VAIN 24/18 BARCEL	BARCEL	2	2.424	PRODUCTOS DE CONFITERIA
2854	20069	DUVALIN AVE-FSA 24/18 BARCEL	BARCEL	3	29.931	PRODUCTOS DE CONFITERIA
2854	21338	BUBULUBU 5KG AGRANEL BARCEL	BARCEL	4	44.58	CHOCOLATES Y DEMAS PROD DERIVADOS CACAO
2854	80284	MINI PALETA PAYASO 12/15 BARCEL	BARCEL	2	50.274	PRODUCTOS DE CONFITERIA
2856	50286	CAR MILKARAMEL CHOCOLATE 24/100 DLR	DLR	1	0.486	PRODUCTOS DE CONFITERIA
2857	50286	CAR MILKARAMEL CHOCOLATE 24/100 DLR	DLR	1	0.486	PRODUCTOS DE CONFITERIA
2858	20143	NUCITA CHOC/FRESA 24/16PZ NUTRESA	NUTRESA	1	0.536	PRODUCTOS DE CONFITERIA
2858	20153	NUCITA VAINI/FRESA 24/16PZ NUTRESA	NUTRESA	1	9.364	PRODUCTOS DE CONFITERIA
2858	20405	NUCITA TRISABOR 24/16 NUTRESA	NUTRESA	1	8.337	PRODUCTOS DE CONFITERIA
2858	80043	ROCKALETA PROMO 10/18  ALEGRO	ALEGRO	3	69.408	PRODUCTOS DE CONFITERIA
2859	20143	NUCITA CHOC/FRESA 24/16PZ NUTRESA	NUTRESA	1	0.536	PRODUCTOS DE CONFITERIA
2859	20153	NUCITA VAINI/FRESA 24/16PZ NUTRESA	NUTRESA	1	9.364	PRODUCTOS DE CONFITERIA
2859	20405	NUCITA TRISABOR 24/16 NUTRESA	NUTRESA	1	8.337	PRODUCTOS DE CONFITERIA
2859	80043	ROCKALETA PROMO 10/18  ALEGRO	ALEGRO	3	69.408	PRODUCTOS DE CONFITERIA
2860	90011	BOMBON CHOC.20/50PZ DLR	DLR	1	1.356	PRODUCTOS DE CONFITERIA
2860	50156	RICOS BESOS 20/100PZ MONTES	MONTES	1	19.54	PRODUCTOS DE CONFITERIA
2860	50171	CACHITOS 20/100PZ MONTES	MONTES	1	24.831	PRODUCTOS DE CONFITERIA
2860	80221	PAL.CUADRADA 25/40PZ MONTES	MONTES	1	0.722	PRODUCTOS DE CONFITERIA
2860	20366	ANDINETA MIX BOLSA 20/500GR MONTES	MONTES	1	14.545	PRODUCTOS DE CONFITERIA
2860	80029	PALETON TIRA 50/10PZ BARCEL	BARCEL	1	0.101	PRODUCTOS DE CONFITERIA
2860	380001	OBLEA TIRA 50/10PZ BARCEL	BARCEL	1	4.779	PRODUCTOS DE CONFITERIA
